"A_YEAR","B_COUNTRY","N_REGION_ISO","Q176","Q158","Q159","Q163","Q71","Q72","Q73","Q59","Q60","Q61","Q262","Q275","Q207","Q171","Q63","Q58","Q62","Q161","regions","Tech_convenience","Tech_future","Tech_impact","Tech_moral","Government","Political_party","Parliament","Neighborhood","Acquaintance","Stranger","Other_Nationality","Family","Other_Religion","Moral_uncertainty","Age","Education","Social_media_usage","Religious_service"
2017,840,840007,4,3,3,1,4,4,4,3,4,4,27,4,1,6,4,3,4,4,"Northeast",3,3,1,7,1,1,1,2,1,1,1,2,1,7,27,4,1,6
2017,840,840043,1,2,5,1,1,2,3,2,1,2,28,3,4,6,3,1,1,3,"South",2,5,1,8,4,3,2,3,4,3,2,4,4,10,28,3,4,6
2017,840,840043,5,1,7,1,2,3,3,1,1,3,37,4,1,4,2,1,2,8,"South",1,7,1,3,3,2,2,4,4,2,3,4,3,6,37,4,1,4
2017,840,840014,3,8,4,1,2,4,4,3,1,4,51,7,1,2,2,3,2,3,"Midwest",8,4,1,8,3,1,1,2,4,1,3,2,3,8,51,7,1,2
2017,840,840009,10,10,10,1,4,3,3,2,2,2,55,6,3,7,2,2,2,1,"South",10,10,1,10,1,2,2,3,3,3,3,3,3,1,55,6,3,7
2017,840,840043,5,1,1,1,4,4,4,3,3,4,23,3,5,7,2,2,2,5,"South",1,1,1,6,1,1,1,2,2,1,3,3,3,6,23,3,5,7
2017,840,840035,2,9,10,2,4,3,3,3,3,4,30,4,5,7,2,2,2,1,"Midwest",9,10,2,10,1,2,2,2,2,1,3,3,3,9,30,4,5,7
2017,840,840013,1,7,6,3,3,3,3,3,2,3,57,3,4,2,2,2,2,5,"Midwest",7,6,3,6,2,2,2,2,3,2,3,3,3,10,57,3,4,2
2017,840,840005,7,6,3,3,3,4,1,2,2,1,38,3,1,4,3,4,3,6,"West",6,3,3,5,2,1,4,3,3,4,2,1,2,4,38,3,1,4
2017,840,840043,4,3,2,3,4,4,4,2,1,3,28,4,1,7,2,2,3,5,"South",3,2,3,6,1,1,1,3,4,2,3,3,2,7,28,4,1,7
2017,840,840042,5,6,4,4,4,4,4,3,2,3,37,7,1,1,3,2,3,1,"South",6,4,4,10,1,1,1,2,3,2,2,3,2,6,37,7,1,1
2017,840,840005,4,8,5,4,4,3,2,2,2,2,35,3,1,1,2,2,2,5,"West",8,5,4,6,1,2,3,3,3,3,3,3,3,7,35,3,1,1
2017,840,840032,7,7,7,4,4,4,4,2,2,2,29,4,1,2,2,1,2,7,"Northeast",7,7,4,4,1,1,1,3,3,3,3,4,3,4,29,4,1,2
2017,840,840025,1,4,6,4,3,3,3,2,2,2,34,3,1,7,3,3,2,7,"Midwest",4,6,4,4,2,2,2,3,3,3,2,2,3,10,34,3,1,7
2017,840,840033,4,6,5,4,3,3,3,3,3,3,33,4,1,2,3,3,3,6,"South",6,5,4,5,2,2,2,2,2,2,2,2,2,7,33,4,1,2
2017,840,840005,1,3,4,4,4,4,4,3,2,3,35,4,5,6,3,1,3,6,"West",3,4,4,5,1,1,1,2,3,2,2,4,2,10,35,4,5,6
2017,840,840005,6,3,5,4,4,4,4,3,2,4,29,4,1,7,2,2,2,3,"West",3,5,4,8,1,1,1,2,3,1,3,3,3,5,29,4,1,7
2017,840,840010,5,7,8,5,3,3,3,2,2,4,27,3,2,3,3,3,3,5,"South",7,8,5,6,2,2,2,3,3,1,2,2,2,6,27,3,2,3
2017,840,840009,3,5,5,5,4,4,4,2,2,3,31,4,2,7,3,2,3,3,"South",5,5,5,8,1,1,1,3,3,2,2,3,2,8,31,4,2,7
2017,840,840047,2,9,9,5,3,3,3,3,2,4,22,3,2,7,2,2,3,7,"West",9,9,5,4,2,2,2,2,3,1,3,3,2,9,22,3,2,7
2017,840,840005,4,3,5,5,4,4,4,2,4,4,29,3,1,1,4,3,4,8,"West",3,5,5,3,1,1,1,3,1,1,1,2,1,7,29,3,1,1
2017,840,840013,10,10,10,5,3,3,3,3,1,4,60,3,5,1,2,1,3,10,"Midwest",10,10,5,1,2,2,2,2,4,1,3,4,2,1,60,3,5,1
2017,840,840020,5,5,5,5,2,3,3,3,2,3,40,4,1,6,2,1,2,5,"South",5,5,5,6,3,2,2,2,3,2,3,4,3,6,40,4,1,6
2017,840,840041,6,5,5,5,4,4,4,2,2,3,39,3,1,3,2,1,2,5,"Midwest",5,5,5,6,1,1,1,3,3,2,3,4,3,5,39,3,1,3
2017,840,840043,1,7,6,5,4,4,4,4,3,4,24,5,1,7,4,4,4,1,"South",7,6,5,10,1,1,1,1,2,1,1,1,1,10,24,5,1,7
2017,840,840035,5,5,5,5,1,2,2,1,1,2,31,5,1,2,3,1,2,5,"Midwest",5,5,5,6,4,3,3,4,4,3,2,4,3,6,31,5,1,2
2017,840,840005,5,2,2,5,1,3,2,2,3,2,65,6,1,6,2,1,2,10,"West",2,2,5,1,4,2,3,3,2,3,3,4,3,6,65,6,1,6
2017,840,840014,5,10,10,5,4,3,4,3,3,4,42,3,1,7,3,1,3,4,"Midwest",10,10,5,7,1,2,1,2,2,1,2,4,2,6,42,3,1,7
2017,840,840005,5,8,7,5,4,4,4,2,2,3,23,3,1,5,2,2,2,8,"West",8,7,5,3,1,1,1,3,3,2,3,3,3,6,23,3,1,5
2017,840,840009,4,7,5,5,4,4,3,2,1,3,36,7,5,4,2,1,2,3,"South",7,5,5,8,1,1,2,3,4,2,3,4,3,7,36,7,5,4
2017,840,840024,1,8,7,5,3,3,3,2,1,2,53,3,2,1,3,1,2,6,"South",8,7,5,5,2,2,2,3,4,3,2,4,3,10,53,3,2,1
2017,840,840029,5,5,5,5,4,3,3,2,1,3,30,3,1,2,2,1,2,5,"Northeast",5,5,5,6,1,2,2,3,4,2,3,4,3,6,30,3,1,2
2017,840,840008,1,7,4,5,3,3,3,1,2,4,64,3,1,4,4,3,4,1,"South",7,4,5,10,2,2,2,4,3,1,1,2,1,10,64,3,1,4
2017,840,840013,10,10,1,5,1,1,1,4,1,4,52,4,1,2,4,1,4,1,"Midwest",10,1,5,10,4,4,4,1,4,1,1,4,1,1,52,4,1,2
2017,840,840035,5,5,7,5,3,3,3,3,2,2,55,4,1,7,2,3,2,8,"Midwest",5,7,5,3,2,2,2,2,3,3,3,2,3,6,55,4,1,7
2017,840,840003,5,1,8,5,4,4,4,3,3,4,32,4,3,3,3,3,3,5,"West",1,8,5,6,1,1,1,2,2,1,2,2,2,6,32,4,3,3
2017,840,840047,5,5,5,5,4,4,4,4,3,4,34,6,1,6,4,1,4,5,"West",5,5,5,6,1,1,1,1,2,1,1,4,1,6,34,6,1,6
2017,840,840043,5,5,5,5,3,3,3,2,2,2,25,3,5,3,2,1,2,5,"South",5,5,5,6,2,2,2,3,3,3,3,4,3,6,25,3,5,3
2017,840,840005,1,10,10,5,4,3,3,3,2,2,36,4,1,7,2,1,2,5,"West",10,10,5,6,1,2,2,2,3,3,3,4,3,10,36,4,1,7
2017,840,840009,5,5,5,5,2,3,3,3,2,3,22,3,2,7,2,1,2,5,"South",5,5,5,6,3,2,2,2,3,2,3,4,3,6,22,3,2,7
2017,840,840005,1,5,1,5,4,4,4,3,2,4,27,4,1,7,3,2,3,6,"West",5,1,5,5,1,1,1,2,3,1,2,3,2,10,27,4,1,7
2017,840,840038,5,3,3,5,3,3,3,3,2,3,46,4,5,7,2,1,2,9,"Northeast",3,3,5,2,2,2,2,2,3,2,3,4,3,6,46,4,5,7
2017,840,840005,5,5,7,5,3,3,3,3,2,3,24,3,2,2,3,1,3,5,"West",5,7,5,6,2,2,2,2,3,2,2,4,2,6,24,3,2,2
2017,840,840003,4,4,10,5,4,4,4,2,2,3,64,5,1,2,1,1,2,7,"West",4,10,5,4,1,1,1,3,3,2,4,4,3,7,64,5,1,2
2017,840,840017,5,6,6,5,4,4,4,4,4,4,34,5,5,5,1,1,4,5,"South",6,6,5,6,1,1,1,1,1,1,4,4,1,6,34,5,5,5
2017,840,840043,1,10,7,5,4,3,4,2,1,4,49,3,5,6,2,1,2,5,"South",10,7,5,6,1,2,1,3,4,1,3,4,3,10,49,3,5,6
2017,840,840003,5,5,5,5,4,4,4,4,2,4,24,5,1,6,2,2,2,5,"West",5,5,5,6,1,1,1,1,3,1,3,3,3,6,24,5,1,6
2017,840,840003,5,7,7,5,3,4,4,3,2,3,55,3,5,7,2,2,2,5,"West",7,7,5,6,2,1,1,2,3,2,3,3,3,6,55,3,5,7
2017,840,840030,6,5,3,5,4,4,4,3,2,4,29,3,1,2,3,1,3,10,"Northeast",5,3,5,1,1,1,1,2,3,1,2,4,2,5,29,3,1,2
2017,840,840009,1,5,5,5,4,3,4,2,2,3,49,8,1,7,2,2,2,1,"South",5,5,5,10,1,2,1,3,3,2,3,3,3,10,49,8,1,7
2017,840,840027,6,4,5,5,4,3,3,3,3,4,18,4,3,5,2,1,2,5,"Midwest",4,5,5,6,1,2,2,2,2,1,3,4,3,5,18,4,3,5
2017,840,840009,5,5,5,5,3,3,3,3,2,3,18,3,1,7,2,2,2,5,"South",5,5,5,6,2,2,2,2,3,2,3,3,3,6,18,3,1,7
2017,840,840005,3,10,10,5,4,3,3,2,2,3,19,3,2,6,1,1,2,7,"West",10,10,5,4,1,2,2,3,3,2,4,4,3,8,19,3,2,6
2017,840,840023,1,10,1,6,4,4,4,4,3,4,22,4,1,7,2,3,4,1,"Midwest",10,1,6,10,1,1,1,1,2,1,3,2,1,10,22,4,1,7
2017,840,840042,1,5,3,6,4,4,4,3,3,3,63,4,1,7,2,2,3,7,"South",5,3,6,4,1,1,1,2,2,2,3,3,2,10,63,4,1,7
2017,840,840023,6,6,6,6,4,3,4,3,2,4,26,7,1,5,2,1,2,6,"Midwest",6,6,6,5,1,2,1,2,3,1,3,4,3,5,26,7,1,5
2017,840,840027,5,5,5,6,4,4,4,2,2,4,23,6,1,7,3,1,3,5,"Midwest",5,5,6,6,1,1,1,3,3,1,2,4,2,6,23,6,1,7
2017,840,840035,10,6,6,6,3,3,3,2,1,3,63,3,5,7,4,1,3,6,"Midwest",6,6,6,5,2,2,2,3,4,2,1,4,2,1,63,3,5,7
2017,840,840035,6,6,6,6,2,2,2,2,2,2,28,3,1,6,2,2,2,6,"Midwest",6,6,6,5,3,3,3,3,3,3,3,3,3,5,28,3,1,6
2017,840,840027,4,5,7,6,3,4,4,3,2,3,47,5,2,3,3,1,3,6,"Midwest",5,7,6,5,2,1,1,2,3,2,2,4,2,7,47,5,2,3
2017,840,840035,10,1,4,6,4,4,4,2,2,4,43,3,1,7,2,2,2,6,"Midwest",1,4,6,5,1,1,1,3,3,1,3,3,3,1,43,3,1,7
2017,840,840014,10,5,7,6,4,3,3,4,4,4,23,3,5,3,4,2,4,3,"Midwest",5,7,6,8,1,2,2,1,1,1,1,3,1,1,23,3,5,3
2017,840,840022,9,4,7,6,4,3,3,2,2,3,34,3,1,7,2,2,2,5,"Midwest",4,7,6,6,1,2,2,3,3,2,3,3,3,2,34,3,1,7
2017,840,840043,6,10,10,6,3,4,3,4,3,4,36,4,5,7,3,3,4,5,"South",10,10,6,6,2,1,2,1,2,1,2,2,1,5,36,4,5,7
2017,840,840044,5,5,7,6,3,3,3,3,3,4,21,3,5,7,3,2,3,5,"West",5,7,6,6,2,2,2,2,2,1,2,3,2,6,21,3,5,7
2017,840,840032,6,1,6,6,4,4,4,3,3,3,58,3,5,7,3,3,3,6,"Northeast",1,6,6,5,1,1,1,2,2,2,2,2,2,5,58,3,5,7
2017,840,840033,5,6,8,6,4,4,4,3,2,4,22,3,4,1,3,1,3,4,"South",6,8,6,7,1,1,1,2,3,1,2,4,2,6,22,3,4,1
2017,840,840043,3,4,6,6,3,4,4,2,1,2,40,3,5,2,1,2,1,2,"South",4,6,6,9,2,1,1,3,4,3,4,3,4,8,40,3,5,2
2017,840,840036,5,3,3,6,3,4,3,4,2,4,39,3,2,6,3,3,4,3,"South",3,3,6,8,2,1,2,1,3,1,2,2,1,6,39,3,2,6
2017,840,840042,5,6,6,7,4,4,4,3,2,3,43,4,1,3,2,2,2,4,"South",6,6,7,7,1,1,1,2,3,2,3,3,3,6,43,4,1,3
2017,840,840010,4,7,6,7,3,3,3,3,2,3,34,4,4,7,3,2,3,5,"South",7,6,7,6,2,2,2,2,3,2,2,3,2,7,34,4,4,7
2017,840,840042,1,5,5,7,4,4,4,1,2,3,35,4,1,6,2,2,2,5,"South",5,5,7,6,1,1,1,4,3,2,3,3,3,10,35,4,1,6
2017,840,840047,1,8,8,7,1,4,4,2,2,3,71,3,2,7,3,1,3,9,"West",8,8,7,2,4,1,1,3,3,2,2,4,2,10,71,3,2,7
2017,840,840022,2,7,1,7,4,4,4,2,3,4,31,3,1,7,3,3,3,8,"Midwest",7,1,7,3,1,1,1,3,2,1,2,2,2,9,31,3,1,7
2017,840,840035,4,6,7,7,4,4,4,4,3,4,33,5,1,7,3,4,3,4,"Midwest",6,7,7,7,1,1,1,1,2,1,2,1,2,7,33,5,1,7
2017,840,840009,5,8,9,7,4,4,4,4,2,3,28,6,1,7,2,2,2,1,"South",8,9,7,10,1,1,1,1,3,2,3,3,3,6,28,6,1,7
2017,840,840048,3,8,8,7,4,4,4,2,2,2,43,4,1,3,2,1,2,1,"South",8,8,7,10,1,1,1,3,3,3,3,4,3,8,43,4,1,3
2017,840,840030,9,7,6,7,3,3,3,2,1,3,64,3,5,7,2,1,2,4,"Northeast",7,6,7,7,2,2,2,3,4,2,3,4,3,2,64,3,5,7
2017,840,840027,7,8,8,7,3,4,4,3,2,4,44,4,1,6,4,2,4,7,"Midwest",8,8,7,4,2,1,1,2,3,1,1,3,1,4,44,4,1,6
2017,840,840043,7,7,7,7,3,3,3,4,2,3,31,3,1,6,3,2,3,7,"South",7,7,7,4,2,2,2,1,3,2,2,3,2,4,31,3,1,6
2017,840,840003,7,7,9,7,3,3,3,3,2,3,24,3,1,4,2,2,3,7,"West",7,9,7,4,2,2,2,2,3,2,3,3,2,4,24,3,1,4
2017,840,840005,1,7,3,7,3,4,3,3,3,3,33,3,1,3,3,2,3,7,"West",7,3,7,4,2,1,2,2,2,2,2,3,2,10,33,3,1,3
2017,840,840024,5,6,6,7,4,4,3,4,4,4,43,2,1,1,4,4,4,9,"South",6,6,7,2,1,1,2,1,1,1,1,1,1,6,43,2,1,1
2017,840,840005,5,5,8,7,4,4,4,3,3,4,42,3,5,3,4,2,4,6,"West",5,8,7,5,1,1,1,2,2,1,1,3,1,6,42,3,5,3
2017,840,840005,3,1,1,7,3,4,4,2,2,4,30,4,2,7,2,2,3,1,"West",1,1,7,10,2,1,1,3,3,1,3,3,2,8,30,4,2,7
2017,840,840043,1,5,6,8,1,1,3,1,1,1,89,3,5,2,1,1,1,8,"South",5,6,8,3,4,4,2,4,4,4,4,4,4,10,89,3,5,2
2017,840,840003,3,6,7,8,4,3,3,2,2,2,47,3,4,3,2,2,2,1,"West",6,7,8,10,1,2,2,3,3,3,3,3,3,8,47,3,4,3
2017,840,840025,2,1,5,8,4,4,4,3,3,2,33,3,1,6,3,1,3,9,"Midwest",1,5,8,2,1,1,1,2,2,3,2,4,2,9,33,3,1,6
2017,840,840029,9,7,7,8,3,4,4,1,2,3,61,3,1,7,2,1,2,6,"Northeast",7,7,8,5,2,1,1,4,3,2,3,4,3,2,61,3,1,7
2017,840,840010,7,7,7,8,1,3,2,3,1,2,46,4,1,6,2,2,2,7,"South",7,7,8,4,4,2,3,2,4,3,3,3,3,4,46,4,1,6
2017,840,840031,2,6,6,8,3,4,3,2,2,2,49,4,2,1,2,1,2,8,"West",6,6,8,3,2,1,2,3,3,3,3,4,3,9,49,4,2,1
2017,840,840014,4,3,4,8,3,3,3,3,2,3,42,2,1,6,2,3,2,3,"Midwest",3,4,8,8,2,2,2,2,3,2,3,2,3,7,42,2,1,6
2017,840,840043,8,7,9,9,4,3,3,3,2,4,30,3,3,3,3,2,3,9,"South",7,9,9,2,1,2,2,2,3,1,2,3,2,3,30,3,3,3
2017,840,840001,3,8,10,9,4,4,4,3,3,4,26,3,4,7,4,2,4,1,"South",8,10,9,10,1,1,1,2,2,1,1,3,1,8,26,3,4,7
2017,840,840047,7,3,1,9,3,2,2,2,2,4,26,3,1,6,3,3,4,1,"West",3,1,9,10,2,3,3,3,3,1,2,2,1,4,26,3,1,6
2017,840,840022,1,1,8,9,2,4,3,1,2,4,18,4,5,7,2,2,2,8,"Midwest",1,8,9,3,3,1,2,4,3,1,3,3,3,10,18,4,5,7
2017,840,840023,10,10,10,10,4,3,4,3,2,2,28,5,2,7,1,3,1,1,"Midwest",10,10,10,10,1,2,1,2,3,3,4,2,4,1,28,5,2,7
2017,840,840038,3,8,5,10,4,4,4,1,1,2,51,3,1,7,1,2,1,1,"Northeast",8,5,10,10,1,1,1,4,4,3,4,3,4,8,51,3,1,7
2017,840,840013,5,8,7,10,1,3,3,2,2,3,81,3,3,2,2,2,2,7,"Midwest",8,7,10,4,4,2,2,3,3,2,3,3,3,6,81,3,3,2
2017,840,840003,10,10,10,10,4,4,4,4,2,4,34,3,1,7,2,1,2,1,"West",10,10,10,10,1,1,1,1,3,1,3,4,3,1,34,3,1,7
2017,840,840009,5,3,1,10,4,3,3,2,2,4,33,5,1,6,2,1,2,5,"South",3,1,10,6,1,2,2,3,3,1,3,4,3,6,33,5,1,6
2017,840,840022,1,10,10,10,4,4,4,4,2,4,39,3,1,7,2,3,2,1,"Midwest",10,10,10,10,1,1,1,1,3,1,3,2,3,10,39,3,1,7
2017,840,840005,1,10,10,10,3,4,4,3,2,4,27,4,2,6,2,1,2,1,"West",10,10,10,10,2,1,1,2,3,1,3,4,3,10,27,4,2,6
2017,840,840037,10,10,10,10,4,4,4,3,2,3,28,3,3,5,3,1,3,1,"West",10,10,10,10,1,1,1,2,3,2,2,4,2,1,28,3,3,5
2017,840,840021,2,8,8,10,2,4,4,2,2,4,30,5,5,4,3,1,4,10,"Northeast",8,8,10,1,3,1,1,3,3,1,2,4,1,9,30,5,5,4
2017,840,840032,1,10,10,10,4,4,4,2,2,4,30,5,1,7,3,2,3,1,"Northeast",10,10,10,10,1,1,1,3,3,1,2,3,2,10,30,5,1,7
2017,840,840026,10,10,10,10,1,4,4,1,2,4,48,8,5,1,2,1,2,1,"West",10,10,10,10,4,1,1,4,3,1,3,4,3,1,48,8,5,1
2017,840,840014,1,1,1,10,3,3,3,1,4,4,58,5,4,7,4,2,2,10,"Midwest",1,1,10,1,2,2,2,4,1,1,1,3,3,10,58,5,4,7
2017,840,840025,2,10,10,10,4,3,4,2,1,3,29,5,1,7,2,2,2,1,"Midwest",10,10,10,10,1,2,1,3,4,2,3,3,3,9,29,5,1,7
2017,840,840033,1,10,10,10,2,2,2,1,1,2,48,3,1,2,2,1,2,10,"South",10,10,10,1,3,3,3,4,4,3,3,4,3,10,48,3,1,2
2017,840,840040,3,10,10,10,3,4,3,3,2,3,31,4,4,7,2,1,2,1,"South",10,10,10,10,2,1,2,2,3,2,3,4,3,8,31,4,4,7
2017,840,840020,10,10,10,10,4,4,4,2,2,2,57,6,1,6,2,1,2,1,"South",10,10,10,10,1,1,1,3,3,3,3,4,3,1,57,6,1,6
2017,840,840043,1,1,2,10,3,3,4,4,4,4,61,3,5,6,4,4,4,1,"South",1,2,10,10,2,2,1,1,1,1,1,1,1,10,61,3,5,6
2017,840,840032,10,9,7,10,4,4,4,4,1,2,22,3,3,6,2,1,4,5,"Northeast",9,7,10,6,1,1,1,1,4,3,3,4,1,1,22,3,3,6
2017,840,840025,5,10,10,10,4,4,4,2,3,4,28,5,1,4,3,2,3,5,"Midwest",10,10,10,6,1,1,1,3,2,1,2,3,2,6,28,5,1,4
2017,840,840025,6,10,10,10,4,4,4,1,2,2,45,6,5,7,2,2,3,1,"Midwest",10,10,10,10,1,1,1,4,3,3,3,3,2,5,45,6,5,7
2017,840,840037,10,10,10,10,4,2,3,2,2,2,26,4,2,7,2,1,2,1,"West",10,10,10,10,1,3,2,3,3,3,3,4,3,1,26,4,2,7
2017,840,840021,1,6,8,10,4,4,4,4,3,4,26,4,1,7,3,2,3,9,"Northeast",6,8,10,2,1,1,1,1,2,1,2,3,2,10,26,4,1,7
2017,840,840006,8,10,5,10,3,3,3,3,2,3,36,4,1,7,3,2,4,3,"West",10,5,10,8,2,2,2,2,3,2,2,3,1,3,36,4,1,7
2017,840,840027,8,10,10,10,4,4,4,3,3,3,22,4,2,6,3,2,3,2,"Midwest",10,10,10,9,1,1,1,2,2,2,2,3,2,3,22,4,2,6
2017,840,840044,5,10,10,10,4,4,4,3,2,3,35,6,5,7,2,1,2,5,"West",10,10,10,6,1,1,1,2,3,2,3,4,3,6,35,6,5,7
2017,840,840043,10,10,10,10,4,3,3,2,2,2,43,3,3,7,2,2,2,1,"South",10,10,10,10,1,2,2,3,3,3,3,3,3,1,43,3,3,7
2017,840,840013,1,8,10,10,3,3,3,4,2,4,30,4,2,7,2,2,2,1,"Midwest",8,10,10,10,2,2,2,1,3,1,3,3,3,10,30,4,2,7
2017,840,840013,3,8,8,10,4,4,4,4,4,4,47,3,1,4,4,4,4,3,"Midwest",8,8,10,8,1,1,1,1,1,1,1,1,1,8,47,3,1,4
2017,840,840006,8,3,4,10,4,4,4,3,2,3,24,3,5,7,3,2,3,8,"West",3,4,10,3,1,1,1,2,3,2,2,3,2,3,24,3,5,7
2017,840,840005,4,10,2,1,3,3,3,2,2,3,45,5,1,2,3,2,3,5,"West",10,2,1,6,2,2,2,3,3,2,2,3,2,7,45,5,1,2
2017,840,840023,10,6,4,1,3,3,4,2,2,3,66,3,5,6,2,2,3,5,"Midwest",6,4,1,6,2,2,1,3,3,2,3,3,2,1,66,3,5,6
2017,840,840005,10,7,7,1,3,4,3,4,1,3,35,4,4,7,3,3,3,1,"West",7,7,1,10,2,1,2,1,4,2,2,2,2,1,35,4,4,7
2017,840,840038,2,1,6,1,2,3,3,1,3,4,25,3,3,3,3,3,2,9,"Northeast",1,6,1,2,3,2,2,4,2,1,2,2,3,9,25,3,3,3
2017,840,840043,4,10,10,1,3,3,3,4,3,3,41,2,1,7,3,2,3,1,"South",10,10,1,10,2,2,2,1,2,2,2,3,2,7,41,2,1,7
2017,840,840003,1,5,5,1,3,3,3,2,2,4,31,5,1,4,2,2,2,10,"West",5,5,1,1,2,2,2,3,3,1,3,3,3,10,31,5,1,4
2017,840,840045,3,4,6,1,4,3,3,2,2,3,26,4,2,7,3,1,2,8,"Northeast",4,6,1,3,1,2,2,3,3,2,2,4,3,8,26,4,2,7
2017,840,840022,5,1,1,1,2,3,4,2,2,3,46,4,1,5,3,2,3,6,"Midwest",1,1,1,5,3,2,1,3,3,2,2,3,2,6,46,4,1,5
2017,840,840035,5,5,5,1,4,3,4,4,4,4,39,4,1,6,4,1,4,10,"Midwest",5,5,1,1,1,2,1,1,1,1,1,4,1,6,39,4,1,6
2017,840,840006,1,1,1,1,3,3,3,3,2,3,23,3,4,6,3,2,3,5,"West",1,1,1,6,2,2,2,2,3,2,2,3,2,10,23,3,4,6
2017,840,840007,1,1,1,1,2,3,3,4,3,4,43,7,2,2,4,1,4,10,"Northeast",1,1,1,1,3,2,2,1,2,1,1,4,1,10,43,7,2,2
2017,840,840013,10,10,10,1,3,3,3,3,3,4,29,2,2,2,3,1,2,10,"Midwest",10,10,1,1,2,2,2,2,2,1,2,4,3,1,29,2,2,2
2017,840,840014,3,4,10,2,3,3,2,4,2,4,32,4,3,2,4,2,3,4,"Midwest",4,10,2,7,2,2,3,1,3,1,1,3,2,8,32,4,3,2
2017,840,840028,3,3,8,2,3,3,3,3,3,4,33,4,4,6,3,1,3,7,"West",3,8,2,4,2,2,2,2,2,1,2,4,2,8,33,4,4,6
2017,840,840003,6,2,7,2,4,4,4,4,3,4,44,6,5,2,4,1,4,5,"West",2,7,2,6,1,1,1,1,2,1,1,4,1,5,44,6,5,2
2017,840,840046,6,6,6,3,3,3,3,3,2,3,26,6,1,2,3,2,3,6,"South",6,6,3,5,2,2,2,2,3,2,2,3,2,5,26,6,1,2
2017,840,840012,7,6,7,3,2,2,3,2,2,3,32,7,2,2,2,1,2,5,"West",6,7,3,6,3,3,2,3,3,2,3,4,3,4,32,7,2,2
2017,840,840014,2,2,2,3,2,3,3,3,3,3,21,4,4,4,3,2,2,9,"Midwest",2,2,3,2,3,2,2,2,2,2,2,3,3,9,21,4,4,4
2017,840,840022,3,2,8,3,1,2,2,3,1,1,36,3,2,2,2,1,3,2,"Midwest",2,8,3,9,4,3,3,2,4,4,3,4,2,8,36,3,2,2
2017,840,840043,1,3,4,3,3,3,3,2,2,3,38,4,3,7,3,1,2,5,"South",3,4,3,6,2,2,2,3,3,2,2,4,3,10,38,4,3,7
2017,840,840018,1,2,3,3,4,3,1,3,3,3,18,3,1,4,3,2,3,9,"South",2,3,3,2,1,2,4,2,2,2,2,3,2,10,18,3,1,4
2017,840,840022,6,5,10,3,3,3,3,3,3,3,29,4,1,5,2,2,2,9,"Midwest",5,10,3,2,2,2,2,2,2,2,3,3,3,5,29,4,1,5
2017,840,840014,6,4,9,3,2,3,3,1,1,2,28,6,1,2,1,1,1,5,"Midwest",4,9,3,6,3,2,2,4,4,3,4,4,4,5,28,6,1,2
2017,840,840005,4,8,9,3,1,3,2,1,1,2,31,4,1,2,2,1,2,5,"West",8,9,3,6,4,2,3,4,4,3,3,4,3,7,31,4,1,2
2017,840,840025,5,5,5,3,2,4,4,4,2,4,39,3,1,6,3,1,2,3,"Midwest",5,5,3,8,3,1,1,1,3,1,2,4,3,6,39,3,1,6
